tweet_id,tweet_created_at,tweet_text,tweet_lang,tweet_source,tweet_reply_settings,tweet_conversation_id,tweet_in_response_to_user,tweet_username,tweet_user_tweet_count,tweet_user_description,tweet_user_location,tweet_user_created_at,tweet_user_pinned_tweet,tweet_user_profile_url,tweet_user_verified,tweet_user_listed_count,tweet_user_following_count,tweet_user_followers_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_reply_count,tweet_reference_type,tweet_reference_id,tweet_clean_text,tweet_sentiment_all,tweet_sentiment_compound,tweet_hashtags,tweet_annotations,tweet_urls,tweet_mentions,tweet_user_id
1481329179568312322,2022-01-12 18:16:12+00:00,"@RodneyDavis Missouri has been on this on this path of taking money away from public schools for private schools, like the ones you always photo op. Rural schools there can’t hire teachers  w/ decent pay because of repub policy",en,Twitter for iPhone,everyone,1481282827861864449,993153006,jborden,262,,"Urbana, IL USA",2007-04-02 14:11:41+00:00,,https://pbs.twimg.com/profile_images/1261205529/IMG_2635_normal.JPG,False,3,174,50,0,0,0,0,replied_to,1481282838192340994,"Missouri has been on this on this path of taking money away from public schools for private schools, like the ones you always photo op. Rural schools there can’t hire teachers w/ decent pay because of repub policy","{'neg': 0.035, 'neu': 0.902, 'pos': 0.063, 'compound': 0.2732}",0.2732,,"['Place', 'Missouri']",,['RodneyDavis'],3216151
1481326990514864129,2022-01-12 18:07:30+00:00,"@Eric_Schmitt Why do you want to kill Missouri students, teachers and staff? #EricSchmittIsASerialKiller https://t.co/JOMVTYFlIY",en,Twitter for Android,everyone,1481051188493959170,101852818,ghank,8618,Retired. Bleed black & gold. Doesn't imply I won't be critical of #Mizzou. #Resist #Truth #FactsMatter #KCRoyals,"Jefferson City, MO",2009-06-05 22:15:07+00:00,,https://pbs.twimg.com/profile_images/1369312163802779651/eB_FkMkE_normal.jpg,False,5,1358,362,0,0,0,0,replied_to,1481051188493959170,"Why do you want to kill Missouri students, teachers and staff? #EricSchmittIsASerialKiller","{'neg': 0.294, 'neu': 0.625, 'pos': 0.081, 'compound': -0.6597}",-0.6597,['EricSchmittIsASerialKiller'],"['Place', 'Missouri']",['https://twitter.com/ghank/status/1481326990514864129/photo/1'],['Eric_Schmitt'],45012070
1481310300347453451,2022-01-12 17:01:11+00:00,2021 Missouri Teacher of the Year and @CrestwoodFlyers teacher Darrion Cockrell was in attendance with the other state teachers of the year at the College Football Playoff National Championship Game on Monday. #WhyWeFly https://t.co/qQaDIRSwg2,en,Buffer,everyone,1481310300347453451,,LindberghFlyers,3522,"We prepare students for success through innovative instruction and a focus on collaboration, creativity, communication and critical thinking.","St. Louis, MO",2009-10-26 20:39:58+00:00,,https://pbs.twimg.com/profile_images/1425874910526644228/JnmzqDlp_normal.jpg,True,65,23,4680,0,8,0,0,,,2021 Missouri Teacher of the Year and teacher Darrion Cockrell was in attendance with the other state teachers of the year at the College Football Playoff National Championship Game on Monday. #WhyWeFly,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.4404}",0.4404,['WhyWeFly'],"['Organization', '2021 Missouri', 'Person', 'Darrion Cockrell', 'Other', 'College Football Playoff National Championship Game']",['https://twitter.com/LindberghFlyers/status/1481310300347453451/photo/1'],['CrestwoodFlyers'],85409266
1481293102979719171,2022-01-12 15:52:51+00:00,"@Eric_Schmitt Funny. I don’t hear that from #Missouri #healthcareworkers. They’re exhausted, just like teachers.",en,Twitter for iPhone,everyone,1481051188493959170,101852818,runningdogwood,44080,,,2011-07-26 23:00:11+00:00,,https://pbs.twimg.com/profile_images/1543316409/image_normal.jpg,False,3,630,460,0,11,0,0,replied_to,1481051188493959170,"Funny. I don’t hear that from #Missouri #healthcareworkers. They’re exhausted, just like teachers.","{'neg': 0.148, 'neu': 0.533, 'pos': 0.32, 'compound': 0.4404}",0.4404,"['Missouri', 'healthcareworkers']",,,['Eric_Schmitt'],343014970
1481274514398920708,2022-01-12 14:38:59+00:00,"In the next couple of weeks schools on Missouri will have teachers and students out in record numbers. The need for in person education is something most folks agree on, but we can’t keep that reality while so many refuse to take steps - simple steps - to mitigate.",en,Twitter for iPhone,everyone,1481274514398920708,,TheHeartlandPOD,6053,Political talk from the Heartland | MO based | Progressives goals | Pragmatic voice | Multiple shows 🌱🔺🏔❌🛫 https://t.co/o4AnqQBZpz,"Missouri, USA",2020-06-09 21:36:08+00:00,1481247086238703620,https://pbs.twimg.com/profile_images/1445231020480020480/rW-_9yky_normal.jpg,False,11,1050,2236,2,17,1,2,,,"In the next couple of weeks schools on Missouri will have teachers and students out in record numbers. The need for in person education is something most folks agree on, but we can’t keep that reality while so many refuse to take steps - simple steps - to mitigate.","{'neg': 0.064, 'neu': 0.898, 'pos': 0.038, 'compound': -0.3244}",-0.3244,,"['Place', 'Missouri']",,,1270469667770032128
1481246533949566980,2022-01-12 12:47:48+00:00,"Thankful for students, teachers, &amp; parents who spoke out against MO House Bills 1995 &amp; 1474 yesterday, &amp; particularly proud of the Missouri Council for History Education’s participation in these discussions. https://t.co/OhuieqKacm",en,Twitter Web App,everyone,1481246533949566980,,NickSacco55,13384,"Public Historian by day, Adjunct Professor by night. Musician. Passionate about history, museums, and pedagogy. Perpetually hunting for the next great read.","Saint Louis, Missouri",2013-01-08 01:23:38+00:00,,https://pbs.twimg.com/profile_images/1445005694797852677/DCyj36im_normal.jpg,False,99,2480,3746,0,6,0,0,,,"Thankful for students, teachers, &amp; parents who spoke out against MO House Bills 1995 &amp; 1474 yesterday, &amp; particularly proud of the Missouri Council for History Education’s participation in these discussions.","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.796}",0.796,,"['Organization', 'MO House Bills', 'Organization', 'Missouri Council']",['https://missouriindependent.com/2022/01/11/missouri-education-committee-puts-early-focus-on-parental-rights-critical-race-theory/'],,1069666238
1481115615469391872,2022-01-12 04:07:35+00:00,"What a stupid bill. He wants to prevent teachers and schools teaching the history of out country. Students should be taught what occurred in the past to hopefully keep it from happening again.

Missouri proposal would ban critical race theory in schools https://t.co/HwYcx2Dqoo",en,Twitter Web App,everyone,1481115615469391872,,RisingPhoenix65,5950,"mother, reader, & natural cynic",The Twilight Zone,2013-11-09 08:13:44+00:00,,https://pbs.twimg.com/profile_images/822870778437734401/mTnroy_U_normal.jpg,False,31,2521,1169,0,0,0,0,,,What a stupid bill. He wants to prevent teachers and schools teaching the history of out country. Students should be taught what occurred in the past to hopefully keep it from happening again. Missouri proposal would ban critical race theory in schools,"{'neg': 0.189, 'neu': 0.733, 'pos': 0.077, 'compound': -0.7579}",-0.7579,,"['Place', 'Missouri']",['https://www.ky3.com/2022/01/11/missouri-proposal-would-ban-critical-race-theory-schools/'],,2183871751
1481114412132020226,2022-01-12 04:02:48+00:00,"Average starting salary for a PhD is $80,000 - $100,000 or more.

Average starting salary for a Missouri teacher is $40,000 - $50,000.

How much do Reps. Richey and Schroer plan to add to school budgets to pay teachers?",en,TweetDeck,everyone,1481114412132020226,,trianglman,102763,Proud that Donald Trump is trying to classify me as a terrorist. I'll continue to stand like my grandfather did 80 years ago when he fought the Nazis in Europe,Missouri,2008-08-26 05:25:27+00:00,,https://pbs.twimg.com/profile_images/822823408161456128/SBxIOZSJ_normal.jpg,False,75,1195,1114,0,0,0,0,,,"Average starting salary for a PhD is $80,000 - $100,000 or more. Average starting salary for a Missouri teacher is $40,000 - $50,000. How much do Reps. Richey and Schroer plan to add to school budgets to pay teachers?","{'neg': 0.04, 'neu': 0.96, 'pos': 0.0, 'compound': -0.1027}",-0.1027,,"['Organization', 'Missouri', 'Person', 'Richey', 'Organization', 'Schroer']",,,15992923
1481113449270816770,2022-01-12 03:58:58+00:00,@MO_HouseDems So tired of it.  These teachers and counselors and administrators have just as much student loan debt as the the other states. Missouri must do better!,en,Twitter for Android,everyone,1480929795361943563,1032685439034028032,jjmeanparakeet,1286,Citizens Committee  for Flood Relief was founded in 2016. We have  finished our USACE FLOOD STUDY. Anxiously awaiting something to be done.,De Soto Missouri ,2009-03-27 06:02:07+00:00,1475558425903960065,https://pbs.twimg.com/profile_images/1278109338205392899/Iszi69vL_normal.jpg,False,1,157,96,0,0,0,0,replied_to,1480929795361943563,So tired of it. These teachers and counselors and administrators have just as much student loan debt as the the other states. Missouri must do better!,"{'neg': 0.188, 'neu': 0.721, 'pos': 0.091, 'compound': -0.474}",-0.474,,"['Place', 'Missouri']",,['MO_HouseDems'],26960794
1481095522622615555,2022-01-12 02:47:44+00:00,Missouri school districts worried about getting stranded up Eric Schmitt's Creek need to just protect kids and teachers and let the AG come after them. This is the exact time we need to be masking/mitigating. Timing is everything.,en,Twitter Web App,everyone,1481095522622615555,,davishtv,7922,"Broadcast Journalism adviser @HTVBuzz, Bay11 podcast, Director of ASB workshop, STL Cardinal fan since '64, grandpa since 2016.  ""Say it, prove it.""","Springfield, MO",2011-10-09 15:59:44+00:00,,https://pbs.twimg.com/profile_images/1287527862334107654/slCwPvHj_normal.jpg,False,18,676,720,2,42,0,2,,,Missouri school districts worried about getting stranded up Eric Schmitt's Creek need to just protect kids and teachers and let the AG come after them. This is the exact time we need to be masking/mitigating. Timing is everything.,"{'neg': 0.054, 'neu': 0.882, 'pos': 0.064, 'compound': 0.1027}",0.1027,,"['Place', 'Missouri', 'Person', 'Eric Schmitt']",,,387742522
